Statistical profiling result from isolate-0x5d60860-16400-v8.log, (8741 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  LazyCompile: *getPropertiesOfUnionOrIntersectionType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:58744:56
      3    0.0%    0.1%  LazyCompile: *getIntersectionType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:61600:37
      3    0.0%    0.1%  LazyCompile: *getConditionalFlowTypeOfType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:60476:46
      3    0.0%    0.1%  LazyCompile: *getCombinedModifierFlags /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:12645:38
      3    0.0%    0.1%  LazyCompile: *getApparentType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:59130:33
      3    0.0%    0.1%  LazyCompile: *forEachChild /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:30729:26
      3    0.0%    0.1%  LazyCompile: *finishNode /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:32323:28
      3    0.0%    0.1%  LazyCompile: *createBaseNode /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:22772:32
      3    0.0%    0.1%  Function: ^parsePropertyOrMethodSignature /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:33663:48
      3    0.0%    0.1%  Function: ^getIndexedAccessTypeOrUndefined /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:62404:49
      3    0.0%    0.1%  Function: ^bind /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:46727:22
      3    0.0%    0.1%  Function: ^<anonymous> /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:37489:74
      2    0.0%    0.1%  LazyCompile: *withJSDoc /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:31707:27
      2    0.0%    0.1%  LazyCompile: *visitNodes /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:30665:24
      2    0.0%    0.1%  LazyCompile: *token /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:31992:23
      2    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2    0.0%    0.1%  LazyCompile: *pushTypeResolution /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:55624:36
      2    0.0%    0.1%  LazyCompile: *propertiesRelatedTo /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:66440:41
      2    0.0%    0.1%  LazyCompile: *popTypeResolution /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:55677:35
      2    0.0%    0.1%  LazyCompile: *parseParameterWorker /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:33482:38
      2    0.0%    0.1%  LazyCompile: *isTypeRelatedTo /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:64606:33
      2    0.0%    0.1%  LazyCompile: *isListTerminator /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:32652:34
